Group Cust No,Group Cust Name,Sold To CustNo,Sold To Name,Ship To No,Ship To Name,Ship To City,Ship To Region,Cluster,Ship To Country,Shipping Point,Shipping Point    Name,Loading Point,DeliveringPlant,DC Name,DP City,DP State
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50164548,RESTAURANT DEPOT #425 (SARASOTA FL),SARASOTA,FL,Florida Cluster,US,1020,MDC Shipping Point 1020       ,BMW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50166779,"RESTAURANT DEPOT #402 (BOYNTON B, F",BOYNTON,FL,Florida Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50064182,RESTAURANT DEPOT #176 (MEDLEY FL),MEDLEY,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50069704,RESTAURANT DEPOT #411 (JACKSONVILLE,JACKSONVILLE,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50158039,RESTAURANT DEPOT #422 (FT MYERS FL),FT MYERS,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50099860,RESTAURANT DEPOT #418 (LARGO FL),LARGO,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50097851,RESTAURANT DEPOT #417 (RIVIERA FL),RIVIERA BEACH,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50005293,RESTAURANT DEPOT #458 (DAVIE FL),DAVIE,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50162962,RESTAURANT DEPOT #426 (KISSIMMEE FL,KISSIMMEE,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50005278,RESTAURANT DEPOT #123 (POMPANO BCH,POMPANO BEACH,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50089019,RESTAURANT DEPOT #413 (TAMPA FL),TAMPA,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50068978,RESTAURANT DEPOT #186 (ORLANDO FL),ORLANDO,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50005295,JETRO CASH & CARRY #114 (MIAMI FL),MIAMI,FL,Florida Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50140212,RESTAURANT DEPOT #810 (WILMINGTON D,WILMINGTON,DE,Mid-Atlantic Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50005279,RESTAURANT DEPOT #125 (BALTIMORE MD,BALTIMORE,MD,Mid-Atlantic Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50068225,RESTAURANT DEPOT #185 (CAPITOL HGHT,CAPITOL HEIGHTS,MD,Mid-Atlantic Cluster,US,1020,MDC Shipping Point 1020       ,BMW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50142165,RESTAURANT DEPOT #416 (MORRISVILLE,MORRISVILLE,NC,Mid-Atlantic Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133834,RESTAURANT DEPOT NORTHEAST,50163426,RESTAURANT DEPOT #401 (GREENSBORO N,GREENSBORO,NC,Mid-Atlantic Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50085890,RESTAURANT DEPOT #412 (CHARLOTTE NC,CHARLOTTE,NC,Mid-Atlantic Cluster,US,1020,MDC Shipping Point 1020       ,OPW,1020,McCormick Distribution Ctr,Belcamp,MD
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50019328,RESTAURANT DEPOT #147 (ALSIP IL),ALSIP,IL,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
50003869,RESTAURANT DEPOT (COLLEGE PT NY) UN,50133835,RESTAURANT DEPOT MIDWEST,50019327,RESTAURANT DEPOT #148 (DES PLAINES,DES PLAINES,IL,Midwest Cluster,US,1415,Frenchs LC Shipping Point     ,,1415,FRENCHS LOGISTIC CENTER,SPRINGFIELD,MO
